number,meaning,median_step_px,max_step_px,loop_seam_step_px,loop_seam_ratio,reversal_spike_pairs,loop_seam_pop,fixed_anchor_range_px,allow_horizontal_travel,allow_stage_exit,min_safe_margin_px,unique_frames,min_adjacent_changed_px,result
1,こんにちは,0.762,5.541,0.198,0.26,none,no,0.0,false,false,11,20,1460,PASS
2,おはよう,0.929,6.901,0.165,0.18,none,no,0.0,false,false,11,20,2216,PASS
3,おやすみ,1.378,5.72,0.538,0.39,none,no,0.0,false,false,11,20,2112,PASS
4,ありがとう,4.122,15.15,4.122,1.0,none,no,0.0,false,false,11,20,2174,PASS
5,ごめんね,2.097,11.186,1.217,0.58,none,no,0.0,false,false,11,20,1745,PASS
6,よろしく,0.582,3.308,0.011,0.02,none,no,0.0,false,false,9,20,371,PASS
7,はーい・了解,1.057,7.135,0.174,0.16,none,no,0.0,false,false,9,20,1807,PASS
8,いいね,0.358,2.363,0.17,0.47,none,no,0.0,false,false,11,20,729,PASS
9,うんうん,2.146,7.015,0.412,0.19,none,no,0.0,false,false,11,20,1706,PASS
10,おねがい,0.53,5.789,0.736,1.39,none,no,0.0,false,false,11,20,1614,PASS
11,いってきます,2.558,5.393,3.254,1.27,none,no,13.0,true,false,11,20,2627,PASS
12,おつかれさま,0.641,2.609,0.668,1.04,none,no,0.0,false,false,11,20,1383,PASS
13,やったー,4.137,13.256,1.734,0.42,none,no,0.0,false,false,8,20,3860,PASS
14,わーい・拍手,0.491,2.271,0.034,0.07,none,no,0.0,false,false,11,20,1599,PASS
15,大好き,0.698,2.832,1.02,1.46,none,no,0.0,false,false,11,20,1362,PASS
16,すごい！,0.497,6.701,0.397,0.8,none,no,0.0,false,false,11,20,1110,PASS
17,笑う,5.038,12.621,0.192,0.04,none,no,0.0,false,false,11,20,1865,PASS
18,照れる,0.89,3.592,0.184,0.21,none,no,0.0,false,false,11,20,2496,PASS
19,応援・ファイト,0.941,5.411,1.523,1.62,none,no,0.0,false,false,11,20,2258,PASS
20,びっくり,2.451,11.582,3.121,1.27,none,no,0.0,false,false,11,20,1967,PASS
21,ひらめき,1.168,5.028,0.312,0.27,none,no,0.0,false,false,11,20,1900,PASS
22,うれしい,1.357,4.017,1.728,1.27,none,no,0.0,false,false,11,20,2921,PASS
23,キラキラ・決まった,0.638,2.684,1.628,2.55,none,no,0.0,false,false,11,20,1488,PASS
24,ノリノリ,2.115,5.686,0.842,0.4,none,no,0.0,false,false,11,20,2515,PASS
25,泣く,0.815,5.231,0.573,0.7,none,no,0.0,false,false,11,20,1624,PASS
26,落ち込む,0.866,4.059,0.658,0.76,none,no,0.0,false,false,10,20,1064,PASS
27,怒る,0.932,5.065,0.932,1.0,none,no,0.0,false,false,11,20,652,PASS
28,困った,1.036,5.25,0.749,0.72,none,no,0.0,false,false,11,20,1821,PASS
29,疲れた,1.61,5.133,1.861,1.16,none,no,0.0,false,false,11,20,2063,PASS
30,体調不良,6.649,14.981,5.797,0.87,none,no,0.0,false,false,8,20,4997,PASS
31,わからない,0.302,0.959,0.535,1.77,none,no,0.0,false,false,11,20,1664,PASS
32,眠い,2.628,10.024,1.541,0.59,none,no,0.0,false,false,8,20,2547,PASS
33,OK!,2.169,15.071,0.164,0.08,none,no,0.0,true,true,0,20,1282,PASS
34,ハート,1.59,3.218,1.59,1.0,none,no,0.0,true,true,22,20,901,PASS
35,汗,4.683,10.928,9.081,1.94,none,no,0.0,true,true,27,20,918,PASS
36,！？,5.107,38.29,0.451,0.09,none,no,0.0,true,true,0,20,774,PASS
37,？,1.622,5.692,0.365,0.23,none,no,0.0,true,false,9,20,913,PASS
38,キラキラ,8.649,12.496,6.251,0.72,none,no,0.0,true,false,26,20,1864,PASS
39,炎・熱い,3.046,12.525,0.898,0.29,none,no,0.0,false,false,24,20,213,PASS
40,zzz,2.486,5.594,2.486,1.0,none,no,0.0,true,true,21,20,1947,PASS
