frame_from,frame_to,centroid_step_px,anchor_x_from,anchor_x_to,safe_margin_min_px
0,1,0.556,90.0,90.0,11
1,2,1.357,90.0,90.0,11
2,3,1.322,90.0,90.0,11
3,4,0.53,90.0,90.0,11
4,5,0.769,90.0,90.0,11
5,6,1.591,90.0,90.0,11
6,7,0.816,90.0,90.0,11
7,8,1.036,90.0,90.0,11
8,9,2.396,90.0,90.0,11
9,10,2.253,90.0,90.0,11
10,11,0.963,90.0,90.0,11
11,12,5.25,90.0,90.0,11
12,13,3.444,90.0,90.0,11
13,14,2.048,90.0,90.0,11
14,15,0.708,90.0,90.0,11
15,16,0.263,90.0,90.0,11
16,17,0.852,90.0,90.0,11
17,18,1.368,90.0,90.0,11
18,19,0.273,90.0,90.0,11
19,0,0.749,90.0,90.0,11
