number,meaning,pose_class,core_width_px,core_height_px,core_center_x_px,baseline_y_px,face_width_px,outline_width_px,full_bbox_incl_arms,width_delta_pct,height_delta_pct,center_delta_px,baseline_delta_px,face_width_delta_pct,face_width_result,body_bbox_result,result
1,こんにちは,standing,97,145,86.5,169,68.4,1.7,"38,24,146,169",-3.0,0.0,-1.5,0,0.0,PASS,PASS,PASS
2,おはよう,standing,103,145,89.5,169,68.4,1.7,"33,24,141,169",3.0,0.0,1.5,0,0.0,PASS,PASS,PASS
3,おやすみ,posed,111,135,100.5,169,68.4,1.7,"45,34,156,169",11.0,-6.9,12.5,0,0.0,PASS,n/a(姿勢変化),PASS
4,ありがとう,posed,111,122,104.5,169,68.4,1.7,"49,47,160,169",11.0,-15.86,16.5,0,0.0,PASS,n/a(姿勢変化),PASS
5,ごめんね,posed,108,139,96.0,169,68.4,1.7,"42,30,150,169",8.0,-4.14,8.0,0,0.0,PASS,n/a(姿勢変化),PASS
6,よろしく,standing,99,145,87.5,169,68.4,1.7,"38,24,153,169",-1.0,0.0,-0.5,0,0.0,PASS,PASS,PASS
7,はーい・了解,posed,100,145,88.0,165,68.4,1.7,"36,20,144,165",0.0,0.0,0.0,-4,0.0,PASS,n/a(姿勢変化),PASS
8,いいね,standing,102,145,89.0,169,68.4,1.7,"38,24,140,169",2.0,0.0,1.0,0,0.0,PASS,PASS,PASS
9,うんうん,posed,105,134,91.5,169,68.4,1.7,"39,35,144,169",5.0,-7.59,3.5,0,0.0,PASS,n/a(姿勢変化),PASS
10,おねがい,standing,97,147,86.5,169,68.4,1.7,"38,22,135,169",-3.0,1.38,-1.5,0,0.0,PASS,PASS,PASS
11,いってきます,posed,102,141,94.0,164,68.4,1.7,"43,23,145,164",2.0,-2.76,6.0,-5,0.0,PASS,n/a(姿勢変化),PASS
12,おつかれさま,standing,97,145,86.5,169,68.4,1.7,"38,24,141,169",-3.0,0.0,-1.5,0,0.0,PASS,PASS,PASS
13,やったー,posed,100,144,88.0,157,68.4,1.7,"28,13,152,157",0.0,-0.69,0.0,-12,0.0,PASS,n/a(姿勢変化),PASS
14,わーい・拍手,standing,98,146,87.0,169,68.4,1.7,"38,23,137,169",-2.0,0.69,-1.0,0,0.0,PASS,PASS,PASS
15,大好き,standing,97,147,86.5,169,68.4,1.7,"38,22,135,169",-3.0,1.38,-1.5,0,0.0,PASS,PASS,PASS
16,すごい！,standing,97,144,84.5,169,68.4,1.7,"36,25,146,169",-3.0,-0.69,-3.5,0,0.0,PASS,PASS,PASS
17,笑う,posed,111,136,103.5,169,68.4,1.7,"48,33,159,169",11.0,-6.21,15.5,0,0.0,PASS,n/a(姿勢変化),PASS
18,照れる,posed,97,145,83.5,169,68.4,1.7,"35,24,139,169",-3.0,0.0,-4.5,0,0.0,PASS,n/a(姿勢変化),PASS
19,応援・ファイト,standing,97,145,86.5,169,68.4,1.7,"38,24,142,169",-3.0,0.0,-1.5,0,0.0,PASS,PASS,PASS
20,びっくり,posed,101,146,77.5,169,68.4,1.7,"27,23,144,169",1.0,0.69,-10.5,0,0.0,PASS,n/a(姿勢変化),PASS
21,ひらめき,standing,97,145,86.5,169,68.4,1.7,"38,24,142,169",-3.0,0.0,-1.5,0,0.0,PASS,PASS,PASS
22,うれしい,posed,102,143,82.0,168,68.4,1.7,"31,25,148,168",2.0,-1.38,-6.0,-1,0.0,PASS,n/a(姿勢変化),PASS
23,キラキラ・決まった,standing,97,145,86.5,169,68.4,1.7,"38,24,137,169",-3.0,0.0,-1.5,0,0.0,PASS,PASS,PASS
24,ノリノリ,posed,99,144,81.5,169,68.4,1.7,"32,25,140,169",-1.0,-0.69,-6.5,0,0.0,PASS,n/a(姿勢変化),PASS
25,泣く,standing,102,145,90.0,169,68.4,1.7,"39,24,141,169",2.0,0.0,2.0,0,0.0,PASS,PASS,PASS
26,落ち込む,posed,110,127,102.0,168,68.4,1.7,"47,41,157,168",10.0,-12.41,14.0,-1,0.0,PASS,n/a(姿勢変化),PASS
27,怒る,standing,100,143,88.0,169,68.4,1.7,"38,26,138,169",0.0,-1.38,0.0,0,0.0,PASS,PASS,PASS
28,困った,posed,99,144,81.5,169,68.4,1.7,"32,25,138,169",-1.0,-0.69,-6.5,0,0.0,PASS,n/a(姿勢変化),PASS
29,疲れた,posed,112,124,106.0,169,68.4,1.7,"50,45,162,169",12.0,-14.48,18.0,0,0.0,PASS,n/a(姿勢変化),PASS
30,体調不良,posed,108,140,74.0,169,68.4,1.7,"20,29,135,169",8.0,-3.45,-14.0,0,0.0,PASS,n/a(姿勢変化),PASS
31,わからない,posed,97,144,85.5,169,68.4,1.7,"37,25,143,169",-3.0,-0.69,-2.5,0,0.0,PASS,PASS,PASS
32,眠い,posed,108,137,94.0,169,68.4,1.7,"40,32,148,169",8.0,-5.52,6.0,0,0.0,PASS,n/a(姿勢変化),PASS
