number,bytes_before,bytes_after,target_met,hard_limit_met,frames,unique_frames,cycle_ms,max_changed_bbox_ratio,fixed_region_byte_identity,optimization_pass,roundtrip_result,visual_quality_result,note
001,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/001
002,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/002
003,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/003
004,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/004
005,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/005
006,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/006
007,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/007
008,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/008
009,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/009
010,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/010
011,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/011
012,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/012
013,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/013
014,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/014
015,,,NOT_RUN,NOT_RUN,0,0,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,source frames not found: /home/user/aimaoon/OUTPUT/frames/015
